РПД,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
РПД_000082446.docx,Б1.О.19 «Этика государственной и муниципальной службы»,«Этика государственной и муниципальной службы»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,7,[],0.46745000117578905,0.4338358045710723,0.6813474700041655
РПД_000106512.docx,Б1.О.08 «Высшая математика»,«Высшая математика»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.44625897040549944,0.49820777081362627,0.5540558221130067
РПД_000076654.docx,Б1.О.02 «Философия»,«Философия»,«Эффективное государственное управление»,бакалавр,очная,2022,2,[],0.4764126596598359,0.6506674971801942,0.6029382032162904
РПД_000080894.docx,Б1.В.10.01 «Избирательное право»,«Избирательное право»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,7,[],0.6264052220168995,0.5805264246262359,0.6151216165370884
РПД_000095875.docx,Б1.В.ДВ.05.02 «Экономика труда»,«Экономика труда»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,5,"['Теория систем и системный анализ', 'Этно-религиозные традиции народов России: история и современные процессы']",0.5856259414154603,0.617666925635359,0.4961734760647327
РПД_000076665.docx,"Б1.В.ДВ.13.01 «Цифровое общество, введение в искусственный интеллект и разговорные боты»","«Цифровое общество, введение в искусственный интеллект и разговорные боты»",«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,1,[],0.40764391660957,0.6843285165574647,0.8692198958523019
РПД_000077264.docx,К.М.03.06 «Деловые коммуникации»,«Деловые коммуникации»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,2,[],0.4155444297492769,0.4909538557365978,0.3962522808433983
РПД_000106268.docx,Б1.В.ДВ.03.01 «Управление изменениями на государственной и муниципальной службе»,«Управление изменениями на государственной и муниципальной службе»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,5,[],0.3375483727643324,0.41161145551637013,0.3899053846129838
РПД_000083255.docx,Б1.В.04 «Государственное регулирование миграционных и демографических процессов»,«Государственное регулирование миграционных и демографических процессов»,«Государственная и муниципальная служба»,бакалавр,очная,2022,7,[],0.6834168893791269,0.6457509797159384,0.556379009209259
РПД_000109887.docx,ФТД.06.01 «Управление НКО»,«Управление НКО»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,5,[],0.41363329541341676,0.6231368588920017,0.4131531015220994
РПД_000096845.docx,Б1.В.04 «Статистика»,«Статистика»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,5,[],0.3885441746965695,0.7279908112432241,0.5358059677086049
РПД_000096783.docx,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,1,[],0.40676294250758543,0.6756183221042176,0.5231929792906946
РПД_000109649.docx,ФТД.06.02 «Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,6,[],0.41363329541341676,0.5352823565267688,0.5299390248239558
